date,gz_spread,ebp,est_prob
1973-01-01,1.1307714053429057,-0.04263527526630772,0.19259668732389812
1973-02-01,1.075493276125443,-0.05559830363684237,0.18823764707108295
1973-03-01,1.0299678416836435,-0.14826603834181262,0.15887586597399647
1973-04-01,0.9827458103604768,-0.20944426381376657,0.14123242041056697
1973-05-01,1.0464935117518377,-0.089312606612449,0.1771887249808692
1973-06-01,1.1859257759641768,0.02992035081043997,0.21811441447331653
1973-07-01,0.9810549739577188,-0.3385764455923871,0.10848894757856224
1973-08-01,0.9777605050840718,-0.22083498825562164,0.13810006387154633
1973-09-01,0.8188236781169651,-0.3618312513303033,0.10322584785463026
1973-10-01,1.273250254171703,0.11122939088258188,0.2489002502047922
1973-11-01,1.3537449558224253,0.04905493943449346,0.2251552450960138
1973-12-01,1.2959694168479592,-0.01307288453523547,0.20276580078504705
1974-01-01,1.1784210232542267,-0.0485754548545454,0.19059159362178804
1974-02-01,1.3067144792396042,0.15106604084167818,0.2647873400843307
1974-03-01,1.220038714401003,-0.09908099891302968,0.17406553138814168
1974-04-01,1.2539698576113811,0.0845305790997466,0.23854359787309465
1974-05-01,1.3012385977617122,0.09457745809585338,0.2424129365993403
1974-06-01,1.9017877205835212,0.7536414891334742,0.5465903818091523
1974-07-01,2.568696915547139,1.2750827992779168,0.7770751041603995
1974-08-01,2.1264243722076457,0.9365822246957464,0.634368775705864
1974-09-01,2.381902491150801,1.006976160983947,0.6666063750752327
1974-10-01,2.5524795103497766,1.1253689804359177,0.7180561073461375
1974-11-01,2.356853811556149,1.085158925645486,0.7010126488316095
1974-12-01,2.661212477979876,1.2256552767186244,0.7584059269031844
1975-01-01,1.7337713333806513,0.39156267416050405,0.3703098098527042
1975-02-01,1.649526368358294,0.407766926019286,0.3779080552603757
1975-03-01,1.8961250416029105,0.604681771911123,0.4731750067653038
1975-04-01,1.5567123308218438,0.24458409889303945,0.30400233494674406
1975-05-01,1.606921254453593,0.36379199641926,0.3574064035610158
1975-06-01,1.461922207470538,0.2564545478960165,0.30915967863649413
1975-07-01,1.4884824580177884,0.3817821805699062,0.3657478482768884
1975-08-01,1.300847928813233,0.1273065147007293,0.25525023918501344
1975-09-01,1.4186685311342824,0.3025265900534071,0.3295275921323063
1975-10-01,1.3607284327062037,0.11748559604674735,0.2513612296574663
1975-11-01,1.329823154039846,0.18376076453249013,0.27820083767062576
1975-12-01,1.2541786335635057,-0.03063692412367924,0.19668583553925284
1976-01-01,0.9979908878131896,-0.16180935613855685,0.15485065248564925
1976-02-01,1.0617339891598505,-0.08017638965518814,0.18014162074182774
1976-03-01,1.011120581271097,-0.12318161039481668,0.16651072802624456
1976-04-01,1.0521076518505803,-0.06533802141006628,0.18500288931589343
1976-05-01,1.0237351420087335,-0.12263798196957244,0.1666787704311209
1976-06-01,1.0197788832302777,-0.05412402653175507,0.1887303077687447
1976-07-01,0.9837099912897176,-0.09341454056583788,0.17587295025229369
1976-08-01,0.9120648551648856,-0.1737675551732646,0.1513530411790932
1976-09-01,0.8550532640032931,-0.21227062385822548,0.14045073771769262
